종목코드,종목명,섹터
096770,SK이노베이션,에너지
010950,S-Oil,에너지
267250,현대중공업지주,에너지
078930,GS,에너지
006120,SK디스커버리,에너지
005090,SGC에너지,에너지
001390,KG케미칼,에너지
041590,젬백스지오,에너지
002960,한국쉘석유,에너지
093230,이아이디,에너지
046120,오르비텍,에너지
137950,제이씨케미칼,에너지
322000,현대에너지솔루션,에너지
091090,세원이앤씨,에너지
024060,흥구석유,에너지
128820,대성산업,에너지
014530,극동유화,에너지
003650,미창석유,에너지
099220,SDN,에너지
013810,스페코,에너지
000440,중앙에너비스,에너지
095910,에스에너지,에너지
078940,코드네이처,에너지
270520,지엔원에너지,에너지
294630,서남,에너지
012320,경동인베스트,에너지
313760,윌링스,에너지
051910,LG화학,화학
009830,한화솔루션,화학
011170,롯데케미칼,화학
003670,포스코케미칼,화학
011780,금호석유,화학
011790,SKC,화학
014680,한솔케미칼,화학
010060,OCI,화학
086520,에코프로,화학
004000,롯데정밀화학,화학
285130,SK케미칼,화학
298050,효성첨단소재,화학
120110,코오롱인더,화학
000210,DL,화학
093370,후성,화학
005070,코스모신소재,화학
383310,에코프로에이치엔,화학
005690,파미셀,화학
178920,PI첨단소재,화학
006650,대한유화,화학
298000,효성화학,화학
069260,휴켐스,화학
014830,유니드,화학
121600,나노신소재,화학
007690,국도화학,화학
004430,송원산업,화학
161000,애경케미칼,화학
104830,원익머트리얼즈,화학
002840,미원상사,화학
089010,켐트로닉스,화학
102710,이엔에프테크놀로지,화학
104480,티케이케미칼,화학
005420,코스모화학,화학
003240,태광산업,화학
005950,이수화학,화학
025860,남해화학,화학
055490,테이팩스,화학
033500,동성화인텍,화학
268280,미원에스씨,화학
220260,켐트로스,화학
101360,이엔드디,화학
012610,경인양행,화학
281740,레이크머티리얼즈,화학
251370,와이엠티,화학
002810,삼영무역,화학
004090,한국석유,화학
239890,피엔에이치테크,화학
006380,카프로,화학
017890,한국알콜,화학
102260,동성케미컬,화학
247660,나노씨엠에스,화학
138490,코오롱플라스틱,화학
002360,SH에너지화학,화학
011500,한농화성,화학
001340,백광산업,화학
042040,케이피엠테크,화학
107590,미원홀딩스,화학
290380,대유,화학
006840,AK홀딩스,화학
001570,금양,화학
025000,KPX케미칼,화학
003720,삼영화학,화학
023450,동남합성,화학
100250,진양홀딩스,화학
083420,그린케미칼,화학
036640,HRS,화학
294140,레몬,화학
014190,원익큐브,화학
003780,진양산업,화학
006890,태경케미컬,화학
136410,아셈스,화학
352940,인바이오,화학
120240,대정화금,화학
002100,경농,화학
092230,KPX홀딩스,화학
134380,미원화학,화학
036670,KCI,화학
007590,동방아그로,화학
045060,오공,화학
357550,석경에이티,화학
010640,진양폴리,화학
286750,나노브릭,화학
003830,대한화섬,화학
101240,씨큐브,화학
187790,나노,화학
066430,와이오엠,화학
097870,효성오앤비,화학
001550,조비,화학
196700,웹스,화학
014440,영보화학,화학
222420,쎄노텍,화학
318000,한국바이오젠,화학
050760,에스폴리텍,화학
110020,전진바이오팜,화학
051630,진양화학,화학
024070,WISCOM,화학
008370,원풍,화학
003080,성보화학,화학
007770,한일화학,화학
048830,엔피케이,화학
115570,스타플렉스,화학
221980,케이디켐,화학
000760,이화산업,화학
010130,고려아연,비철금속
103140,풍산,비철금속
078130,국일제지,비철금속
014820,동원시스템즈,비철금속
008350,남선알미늄,비철금속
008730,율촌화학,비철금속
002310,아세아제지,비철금속
213500,한솔제지,비철금속
115390,락앤락,비철금속
001780,알루코,비철금속
016590,신대양제지,비철금속
034810,해성산업,비철금속
081000,일진다이아,비철금속
006110,삼아알미늄,비철금속
002030,아세아,비철금속
069460,대호에이엘,비철금속
004560,현대비앤지스틸,비철금속
005810,풍산홀딩스,비철금속
058430,포스코강판,비철금속
014160,대영포장,비철금속
115960,연우,비철금속
018470,조일알미늄,비철금속
009190,대양금속,비철금속
000180,성창기업지주,비철금속
004540,깨끗한나라,비철금속
004150,한솔홀딩스,비철금속
033310,엠투엔,비철금속
012800,대창,비철금속
024090,디씨엠,비철금속
009580,무림P&P,비철금속
036620,감성코퍼레이션,비철금속
124500,아이티센,비철금속
025820,이구산업,비철금속
272550,삼양패키징,비철금속
023600,삼보판지,비철금속
081150,티플랙스,비철금속
011280,태림포장,비철금속
251970,펌텍코리아,비철금속
015890,태경산업,비철금속
037370,EG,비철금속
009460,한창제지,비철금속
032560,황금에스티,비철금속
014580,태경비케이,비철금속
000480,조선내화,비철금속
010040,한국내화,비철금속
006740,영풍제지,비철금속
009620,삼보산업,비철금속
128660,피제이메탈,비철금속
021050,서원,비철금속
002200,한국수출포장,비철금속
009200,무림페이퍼,비철금속
177830,파버나인,비철금속
037230,한국팩키지,비철금속
027970,세하,비철금속
004780,대륙제관,비철금속
075970,동국알앤에스,비철금속
017650,대림제지,비철금속
004450,삼화왕관,비철금속
002820,SUN&L,비철금속
037760,쎄니트,비철금속
002870,신풍제지,비철금속
001810,무림SP,비철금속
001020,페이퍼코리아,비철금속
155660,DSR,비철금속
060480,국일신동,비철금속
010420,한솔PNS,비철금속
001560,제일연마,비철금속
079170,한창산업,비철금속
049830,승일,비철금속
340440,세림B&G,비철금속
014970,삼륭물산,비철금속
008870,금비,비철금속
054410,케이피티유,비철금속
005820,원림,비철금속
005490,POSCO,철강
004020,현대제철,철강
001230,동국제강,철강
016380,KG동부제철,철강
151860,KG ETS,철강
084010,대한제강,철강
001430,세아베스틸,철강
139990,아주스틸,철강
004890,동일산업,철강
104700,한국철강,철강
003030,세아제강지주,철강
100130,동국S&C,철강
002240,고려제강,철강
009520,포스코엠텍,철강
008970,동양철관,철강
001940,KISCO홀딩스,철강
002710,TCC스틸,철강
306200,세아제강,철강
000970,한국주철관,철강
005160,동국산업,철강
005010,휴스틸,철강
025550,한국선재,철강
007280,한국특강,철강
008260,NI스틸,철강
039240,경남스틸,철강
008420,문배철강,철강
023440,제일제강,철강
133820,화인베스틸,철강
032860,휴먼엔,철강
120030,조선선재,철강
048470,대동스틸,철강
001080,만호제강,철강
058650,세아홀딩스,철강
017480,삼현철강,철강
026940,부국철강,철강
002220,한일철강,철강
019440,세아특수강,철강
060380,동양에스텍,철강
071090,하이스틸,철강
021040,대호특수강,철강
053260,금강철강,철강
012620,원일특강,철강
012160,영흥,철강
263770,유에스티,철강
069730,DSR제강,철강
002690,동일제강,철강
140520,대창스틸,철강
025890,한국주강,철강
000590,CS홀딩스,철강
023790,동일철강,철강
001770,SHD,철강
026910,광진실업,철강
028050,삼성엔지니어링,건설
000720,현대건설,건설
006360,GS건설,건설
375500,DL이앤씨,건설
002380,KCC,건설
047040,대우건설,건설
003410,쌍용C&E,건설
010780,아이에스동서,건설
009240,한샘,건설
363280,티와이홀딩스,건설
013890,지누스,건설
294870,HDC현대산업개발,건설
344820,KCC글라스,건설
300720,한일시멘트,건설
108670,LX하우시스,건설
001470,삼부토건,건설
012630,HDC,건설
025900,동화기업,건설
183190,아세아시멘트,건설
004980,성신양회,건설
001880,DL건설,건설
023410,유진기업,건설
002990,금호건설,건설
013120,동원개발,건설
038500,삼표시멘트,건설
001520,동양,건설
013580,계룡건설,건설
035890,서희건설,건설
002460,화성산업,건설
079430,현대리바트,건설
002780,진흥기업,건설
094820,일진파워,건설
045100,한양이엔지,건설
011370,서한,건설
003300,한일홀딩스,건설
028100,동아지질,건설
000390,삼화페인트,건설
007210,벽산,건설
026150,특수건설,건설
016800,퍼시스,건설
002150,도화엔지니어링,건설
003070,코오롱글로벌,건설
004960,한신공영,건설
005960,동부건설,건설
036190,금화피에스시,건설
009410,태영건설,건설
014280,금강공업,건설
014790,한라,건설
109610,에스와이,건설
097230,HJ중공업,건설
090350,노루페인트,건설
317400,자이에스앤디,건설
025750,한솔홈데코,건설
052300,초록뱀컴퍼니,건설
039570,HDC랩스,건설
065950,웰크론,건설
186230,그린플러스,건설
053690,한미글로벌,건설
007110,일신석재,건설
018310,삼목에스폼,건설
006390,한일현대시멘트,건설
037440,희림,건설
000860,강남제비스코,건설
042940,상지카일룸,건설
225530,보광산업,건설
060560,홈센타홀딩스,건설
010960,삼호개발,건설
034300,신세계건설,건설
017000,신원종합개발,건설
000910,유니온,건설
016250,SGC이테크건설,건설
008250,이건산업,건설
013360,일성건설,건설
003800,에이스침대,건설
060370,KT서브마린,건설
309930,오하임아이엔티,건설
002410,범양건영,건설
013700,까뮤이앤씨,건설
011090,에넥스,건설
021320,KCC건설,건설
066620,국보디자인,건설
005750,대림B&Co,건설
025950,동신건설,건설
001840,이화공영,건설
022220,정산애강,건설
090410,덕신하우징,건설
046940,우원개발,건설
000320,노루홀딩스,건설
171120,라이온켐텍,건설
058730,다스코,건설
255220,SG,건설
004440,삼일씨엔에스,건설
011390,부산산업,건설
004910,조광페인트,건설
037350,성도이엔지,건설
226360,KH E&T,건설
198440,고려시멘트,건설
076080,웰크론한텍,건설
006050,국영지앤엠,건설
039020,이건홀딩스,건설
001260,남광토건,건설
091590,남화토건,건설
023960,에쓰씨엔지니어링,건설
051980,중앙디앤엠,건설
228340,동양파일,건설
006920,모헨즈,건설
011560,세보엠이씨,건설
035200,프럼파스트,건설
002290,삼일기업공사,건설
038010,제일테크노스,건설
023350,한국종합기술,건설
134790,시디즈,건설
054930,유신,건설
071950,코아스,건설
044180,KD,건설
060260,뉴보텍,건설
007680,대원,건설
101670,코리아에스이,건설
192390,윈하이텍,건설
010400,우진아이엔에스,건설
079650,서산,건설
079000,와토스코리아,건설
073190,듀오백,건설
006570,대림통상,건설
034020,두산중공업,기계
241560,두산밥캣,기계
064350,현대로템,기계
017800,현대엘리베이,기계
006260,LS,기계
042670,현대두산인프라코어,기계
112610,씨에스윈드,기계
056190,에스에프에이,기계
010120,LS ELECTRIC,기계
001440,대한전선,기계
267260,현대일렉트릭,기계
267270,현대건설기계,기계
018000,유니슨,기계
298040,효성중공업,기계
007460,에이프로젠 MED,기계
282880,코윈테크,기계
074610,이엔플러스,기계
019210,와이지-원,기계
000490,대동,기계
006910,보성파워텍,기계
009160,SIMPAC,기계
104460,디와이피엔에프,기계
002900,TYM,기계
023160,태광,기계
013030,하이록코리아,기계
090360,로보스타,기계
090710,휴림로봇,기계
014620,성광벤드,기계
060310,3S,기계
277810,레인보우로보틱스,기계
095190,이엠코리아,기계
073640,테라사이언스,기계
013570,디와이,기계
126340,비나텍,기계
043220,에이치엘비파워,기계
010170,대한광통신,기계
126880,제이엔케이히터,기계
036890,진성티이씨,기계
277880,티에스아이,기계
014200,광림,기계
006340,대원전선,기계
210540,디와이파워,기계
019990,에너토크,기계
007820,에스엠코어,기계
105840,우진,기계
051490,나라엠앤디,기계
011700,한신기계,기계
053590,한국테크놀로지,기계
071670,에이테크솔루션,기계
089140,넥스턴바이오,기계
042370,비츠로테크,기계
024810,이화전기,기계
015860,일진홀딩스,기계
004380,삼익THK,기계
140670,알에스오토메이션,기계
044060,조광ILI,기계
229640,LS전선아시아,기계
036560,영풍정밀,기계
103590,일진전기,기계
053080,원방테크,기계
017040,광명전기,기계
096350,대창솔루션,기계
119650,KC코트렐,기계
084180,수성이노베이션,기계
017550,수산중공업,기계
105740,디케이락,기계
015230,대창단조,기계
085310,엔케이,기계
297090,씨에스베어링,기계
049800,우진플라임,기계
033540,파라텍,기계
109860,동일금속,기계
119850,지엔씨에너지,기계
015590,큐로,기계
049430,코메론,기계
003010,혜인,기계
033100,제룡전기,기계
000500,가온전선,기계
009440,KC그린홀딩스,기계
100840,SNT에너지,기계
189860,서전기전,기계
083650,비에이치아이,기계
024880,케이피에프,기계
199820,제일전기공업,기계
099440,스맥,기계
024840,KBI메탈,기계
159010,아스플로,기계
041440,현대에버다임,기계
086670,비엠티,기계
119500,포메탈,기계
017510,세명전기,기계
092440,기신정기,기계
050860,아세아텍,기계
147830,제룡산업,기계
000850,화천기공,기계
010240,흥국,기계
007610,선도전기,기계
008470,부스타,기계
039610,화성밸브,기계
044780,에이치케이,기계
048770,TPC,기계
010660,화천기계,기계
101170,우림피티에스,기계
138070,신진에스엠,기계
317850,대모,기계
043340,에쎈테크,기계
237750,피앤씨테크,기계
008830,대동기어,기계
053160,프리엠스,기계
100660,서암기계공업,기계
254120,자비스,기계
317830,에스피시스템스,기계
059270,해성티피씨,기계
009540,한국조선해양,조선
010140,삼성중공업,조선
028300,HLB,조선
010620,현대미포조선,조선
329180,현대중공업,조선
042660,대우조선해양,조선
100090,삼강엠앤티,조선
017960,한국카본,조선
082740,HSD엔진,조선
075580,세진중공업,조선
064820,케이프,조선
014940,오리엔탈정공,조선
101930,인화정공,조선
054180,메디콕스,조선
108380,대양전기공업,조선
077970,STX엔진,조선
065570,삼영이엔씨,조선
071970,STX중공업,조선
092460,한라IMS,조선
054540,삼영엠텍,조선
101000,상상인인더스트리,조선
073010,케이에스피,조선
333430,일승,조선
028260,삼성물산,"상사,자본재"
034730,SK,"상사,자본재"
003550,LG,"상사,자본재"
047810,한국항공우주,"상사,자본재"
012750,에스원,"상사,자본재"
012450,한화에어로스페이스,"상사,자본재"
001040,CJ,"상사,자본재"
047050,포스코인터내셔널,"상사,자본재"
272210,한화시스템,"상사,자본재"
001120,LX인터내셔널,"상사,자본재"
004800,효성,"상사,자본재"
079550,LIG넥스원,"상사,자본재"
030190,NICE평가정보,"상사,자본재"
001740,SK네트웍스,"상사,자본재"
000150,두산,"상사,자본재"
383800,LX홀딩스,"상사,자본재"
034310,NICE,"상사,자본재"
060150,인선이엔티,"상사,자본재"
099320,쎄트렉아이,"상사,자본재"
143240,사람인에이치알,"상사,자본재"
122900,아이마켓코리아,"상사,자본재"
002020,코오롱,"상사,자본재"
090850,현대이지웰,"상사,자본재"
029960,코엔텍,"상사,자본재"
011760,현대코퍼레이션,"상사,자본재"
065450,빅텍,"상사,자본재"
036800,나이스정보통신,"상사,자본재"
067390,아스트,"상사,자본재"
010820,퍼스텍,"상사,자본재"
377450,리파인,"상사,자본재"
016880,웅진,"상사,자본재"
001250,GS글로벌,"상사,자본재"
361390,제노코,"상사,자본재"
130580,나이스디앤비,"상사,자본재"
043910,자연과환경,"상사,자본재"
215090,휴센텍,"상사,자본재"
005870,휴니드,"상사,자본재"
072520,제넨바이오,"상사,자본재"
274090,켄코아에어로스페이스,"상사,자본재"
034950,한국기업평가,"상사,자본재"
230980,에이트원,"상사,자본재"
214430,아이쓰리시스템,"상사,자본재"
092130,이크레더블,"상사,자본재"
058850,KTcs,"상사,자본재"
094280,효성ITX,"상사,자본재"
058860,KTis,"상사,자본재"
049720,고려신용정보,"상사,자본재"
036120,SCI평가정보,"상사,자본재"
221840,하이즈항공,"상사,자본재"
069140,누리플랜,"상사,자본재"
033050,제이엠아이,"상사,자본재"
011810,STX,"상사,자본재"
030960,양지사,"상사,자본재"
011200,HMM,운송
003490,대한항공,운송
086280,현대글로비스,운송
180640,한진칼,운송
028670,팬오션,운송
000120,CJ대한통운,운송
020560,아시아나항공,운송
003280,흥아해운,운송
089860,롯데렌탈,운송
005880,대한해운,운송
089590,제주항공,운송
319400,현대무벡스,운송
272450,진에어,운송
002320,한진,운송
298690,에어부산,운송
091810,티웨이항공,운송
003100,선광,운송
044450,KSS해운,운송
009070,KCTC,운송
067900,와이엔텍,운송
004140,동방,운송
004360,세방,운송
068400,SK렌터카,운송
001140,국보,운송
124560,태웅로직스,운송
000700,유수홀딩스,운송
009180,한솔로지스틱스,운송
095570,AJ네트웍스,운송
005430,한국공항,운송
038390,레드캡투어,운송
024800,유성티엔에스,운송
040610,SG&G,운송
045340,토탈소프트,운송
014130,한익스프레스,운송
129260,인터지스,운송
004870,티웨이홀딩스,운송
084670,동양고속,운송
036000,예림당,운송
032280,삼일,운송
000650,천일고속,운송
005380,현대차,자동차
000270,기아,자동차
012330,현대모비스,자동차
161390,한국타이어앤테크놀로지,자동차
018880,한온시스템,자동차
204320,만도,자동차
011210,현대위아,자동차
004490,세방전지,자동차
009900,명신산업,자동차
271940,일진하이솔루스,자동차
136510,에디슨EV,자동차
005850,에스엘,자동차
025540,한국단자,자동차
064960,SNT모티브,자동차
073240,금호타이어,자동차
000240,한국앤컴퍼니,자동차
060980,한라홀딩스,자동차
038880,아이에이,자동차
007340,디티알오토모티브,자동차
214330,금호에이치티,자동차
015750,성우하이텍,자동차
002350,넥센타이어,자동차
123040,엠에스오토텍,자동차
088290,이원컴포텍,자동차
105550,트루윈,자동차
126600,코프라,자동차
007860,서연,자동차
000430,대원강업,자동차
066590,우수AMS,자동차
122350,삼기,자동차
023800,인지컨트롤스,자동차
118990,모트렉스,자동차
033530,세종공업,자동차
013720,CBI,자동차
010690,화신,자동차
215360,우리산업,자동차
092200,디아이씨,자동차
353590,오토앤,자동차
265560,영화테크,자동차
003570,SNT중공업,자동차
005720,넥센,자동차
036530,SNT홀딩스,자동차
043370,피에이치에이,자동차
234100,세원,자동차
200880,서연이화,자동차
024740,한일단조,자동차
041930,동아화성,자동차
012860,모베이스전자,자동차
045520,크린앤사이언스,자동차
009680,모토닉,자동차
000300,대유플러스,자동차
105330,케이엔더블유,자동차
308170,센트랄모텍,자동차
241690,유니테크노,자동차
089470,HDC현대EP,자동차
047400,유니온머티리얼,자동차
013310,아진산업,자동차
067570,엔브이에이치코리아,자동차
012200,계양전기,자동차
002880,대유에이텍,자동차
009320,대우부품,자동차
104040,대성파인텍,자동차
024900,덕양산업,자동차
006660,삼성공조,자동차
011320,유니크,자동차
053700,삼보모터스,자동차
024910,경창산업,자동차
038110,에코플라스틱,자동차
282690,동아타이어,자동차
